Ticker,Score,Close,RSI,EMA_Score,MACD_Score,OBV_Score,Pred_Breakout,Pred_Reversal,Pred_EMA_Cross,Volume_Spike,Regime,Percentile
PCVX,33.66,46.58000183105469,27.9,19.9,-200.0,100.0,100.0,0.0,100.0,2.72,RANGE,83.42
COPP,33.6,38.52000045776367,36.16,11.88,0.0,100.0,100.0,0.0,100.0,0.47,TREND,83.38
VPLS,33.45,78.30500030517578,25.39,-3.03,-17.01,100.0,-100.0,0.0,100.0,0.43,RANGE,83.35
SLS,33.33,3.984999895095825,42.39,26.46,32.7,100.0,100.0,0.0,-44.16,1.42,TREND,83.31
NRXP,33.32,2.2699999809265137,60.48,100.0,0.0,100.0,-100.0,0.0,91.95,0.15,TREND,83.27
CABA,33.31,2.2049999237060547,58.67,64.73,80.45,100.0,-2.81,0.0,-100.0,0.73,TREND,83.24
IBEX,33.27,38.06999969482422,59.36,-1.42,0.0,84.97,100.0,0.0,71.2,1.89,RANGE,83.2
KLRS,33.19,9.711000442504885,62.01,100.0,0.0,100.0,-11.43,0.0,-100.0,1.67,TREND,83.16
HWC,33.15,68.31999969482422,64.47,37.4,-36.92,100.0,98.03,-72.36,100.0,1.94,TREND,83.13
ARTL,33.01,1.690000057220459,57.35,100.0,-44.69,100.0,100.0,-36.76,80.02,1.06,TREND,83.09
DCBO,32.94,19.7450008392334,31.48,-100.0,200.0,100.0,40.66,0.0,-100.0,2.38,TREND,83.05
PLUG,32.92,2.365000009536743,52.47,66.49,28.73,-100.0,100.0,0.0,14.77,0.49,TREND,83.0
ISRG,32.92,534.8699951171875,28.7,-100.0,200.0,100.0,100.0,0.0,-100.0,1.04,RANGE,83.0
PLRX,32.79,1.2999999523162842,43.51,-17.18,2.97,100.0,100.0,0.0,-12.33,1.35,TREND,82.94
PPC,32.76,41.36000061035156,40.32,74.13,0.0,-100.0,100.0,0.0,100.0,1.55,RANGE,82.91
PAGP,32.69,20.549999237060547,68.83,69.11,41.42,100.0,1.09,-94.13,-44.05,1.79,TREND,82.87
HOFT,32.68,12.760000228881836,67.51,100.0,0.0,100.0,-100.0,0.0,-97.85,2.34,TREND,82.84
MSTX,32.67,4.855000019073486,38.94,25.77,0.0,100.0,-1.28,0.0,-100.0,0.26,RANGE,82.8
SLNH,32.5,1.6649999618530271,45.52,-39.21,200.0,-100.0,100.0,0.0,-100.0,0.62,TREND,82.76
ASTS,32.45,115.73999786376952,83.44,100.0,0.0,100.0,-100.0,0.0,81.72,0.7,TREND,82.73
ECPG,32.43,56.22999954223633,70.4,34.39,0.0,100.0,-15.36,0.0,100.0,1.05,RANGE,82.67
HSAI,32.43,28.540000915527344,75.13,100.0,0.0,100.0,-75.68,-100.0,100.0,0.73,TREND,82.67
RLMD,32.3,3.75,36.3,-100.0,200.0,100.0,100.0,0.0,-100.0,4.57,TREND,82.62
LASE,32.17,2.1449999809265137,57.53,-20.21,71.62,100.0,100.0,0.0,-34.32,2.39,TREND,82.58
IGF,32.04,62.25,70.9,19.46,200.0,100.0,55.85,0.0,-100.0,0.29,RANGE,82.54
NEXT,32.0,5.284999847412109,50.35,100.0,0.0,100.0,100.0,0.0,19.98,1.2,TREND,82.51
TBLD,31.98,20.6299991607666,66.75,24.27,49.09,100.0,35.88,0.0,-87.27,1.18,RANGE,82.47
CHA,31.86,12.100000381469728,55.06,-83.88,175.16,100.0,100.0,0.0,-100.0,1.14,RANGE,82.43
RING,31.85,83.0999984741211,48.35,27.88,0.0,100.0,100.0,0.0,-100.0,0.68,TREND,82.4
BJDX,31.77,0.7034000158309937,59.92,100.0,0.0,100.0,-100.0,0.0,31.3,0.97,TREND,82.36
COST,31.72,963.75,71.83,64.7,0.0,100.0,100.0,0.0,-100.0,2.25,TREND,82.33
AYTU,31.63,2.700000047683716,45.78,3.05,18.82,100.0,100.0,0.0,-26.05,3.45,TREND,82.29
XP,31.62,17.399999618530273,54.48,30.72,-36.45,100.0,100.0,0.0,-39.72,2.27,RANGE,82.25
SRRK,31.55,44.97999954223633,43.6,74.19,-200.0,100.0,100.0,0.0,100.0,3.13,RANGE,82.22
FFIN,31.41,32.55500030517578,63.32,65.74,-200.0,100.0,100.0,0.0,100.0,2.63,RANGE,82.18
TDIV,31.39,99.40399932861328,57.7,1.09,200.0,100.0,83.47,0.0,-100.0,2.12,RANGE,82.14
PRTH,31.38,5.84499979019165,68.17,30.22,32.72,-100.0,100.0,0.0,12.18,0.87,RANGE,82.11
ANNX,31.31,6.065000057220459,18.32,70.44,-45.75,-100.0,39.02,0.0,100.0,1.13,TREND,82.07
VRAR,31.27,1.100000023841858,55.33,74.75,-34.56,100.0,100.0,-26.63,47.31,0.24,TREND,82.0
ITRM,31.27,0.3411999940872192,63.85,56.77,56.03,100.0,90.1,0.0,-30.47,0.94,TREND,82.0
ADP,31.27,260.44000244140625,60.29,-6.55,200.0,100.0,100.0,0.0,-100.0,0.95,RANGE,82.0
HCHL,31.05,4.409999847412109,47.92,25.72,-57.89,100.0,100.0,0.0,61.77,0.0,TREND,81.92
TLIH,31.03,0.4930000007152557,56.98,100.0,-58.39,100.0,100.0,0.0,40.28,0.25,TREND,81.89
AMDD,31.0,8.630999565124512,38.76,-100.0,200.0,100.0,1.66,0.0,-100.0,0.22,RANGE,81.85
